QuaterNoteMs 576
FirstNoteMs 144
94326 4 1
94471 5 1
94615 0 0
94759 5 1
94903 4 1
95048 3 0
95336 2 0
95624 1 0
95624 4 0
95913 2 1
96057 3 1
96201 4 1
96346 5 1
96490 0 1
96778 1 0
97067 2 1
97211 3 1
97355 4 1
97499 5 1
97788 0 0
98076 1 0
98221 0 1
98509 5 0
98798 4 0
99086 3 0
99374 2 1
99519 3 1
99663 2 1
99807 3 1
100240 4 0
100240 1 0
100528 5 1
100673 4 1
100817 3 1
100961 2 1
101105 1 1
101249 0 0
101826 5 0
102115 4 1
102259 5 1
102403 0 1
102692 1 0
102980 2 1
103124 3 1
103413 4 0
103701 3 1
103846 2 1
103990 1 1
104134 2 1
104278 3 1
104567 4 0
104711 3 1
104855 2 1
104999 1 1
104999 4 0
105432 1 0
105576 0 1
105721 5 1
105865 4 1
106009 3 1
106153 2 1
106225 1 1
106442 0 1
106874 5 0
107019 4 1
107163 3 1
107307 2 1
107451 1 1
107596 0 1
107740 5 1
107884 4 1
108028 3 1
108173 2 1
108317 1 1
108461 0 1
108605 5 1
108894 4 0
109182 3 0
109326 4 1
109471 5 1
109615 0 1
109759 1 1
109903 2 1
110048 1 1
110192 0 1
110336 5 1
110480 4 1
110624 3 1
110913 2 0
111057 1 1
111346 2 1
111490 3 1
111634 4 1
111778 5 1
111923 0 0
111923 3 0
112499 0 0
112499 3 0
113076 0 0
113076 3 0
113653 0 0
113653 3 0
113798 1 1
113798 4 1
114519 1 0
114663 0 1
114951 1 0
115096 0 1
115384 5 2 115745
115817 4 2 116177
116249 3 1
116826 2 0
116971 3 1
117259 2 0
117403 3 1
117692 4 2 118052
118124 3 2 118485
118557 2 1
118990 1 0
119134 2 1
119423 1 0
119567 2 1
119927 3 2 120288
120360 2 2 120721
120793 3 1
122307 4 2 122740
122884 3 0
123173 2 1
123605 1 0
123749 2 1
123894 3 1
124182 4 0
124326 3 1
124471 2 1
124759 1 0
125048 0 0
125336 5 0
125624 4 0
125913 3 0
126057 2 1
126201 1 1
126490 1 0
126634 2 1
126778 3 1
127067 4 0
127355 5 0
127644 0 0
127932 1 0
128221 2 0
128365 3 1
128509 4 1
128653 5 1
128798 0 1
129086 1 0
129374 0 1
129663 5 0
129951 4 1
130384 3 0
130673 2 1
130817 1 1
130961 0 1
131249 5 0
131538 4 1
131682 3 1
131971 2 0
132259 2 0
132403 1 1
132692 0 2 133846
134999 5 0
134999 2 0
135144 4 1
135288 3 1
135432 2 1
135576 1 1
135721 0 1
135865 5 1
136009 4 1
136298 3 0
136730 2 0
136730 5 0
137307 5 0
137307 2 0
137596 1 1
137740 0 1
137884 5 1
138028 4 1
138461 3 0
138461 0 0
139038 5 0
139326 4 0
139615 3 0
139903 2 0
140192 1 0
140480 0 0
140769 5 0
141057 4 0
141346 3 0
141634 2 0
141923 1 0
142355 0 0
142644 5 1
142932 4 0
143076 3 1
143221 4 1
143365 3 1
143509 4 1
143653 3 0
143653 0 0
143942 1 0
143942 4 0
144230 5 1
144374 0 1
144519 1 1
144663 2 1
144807 3 1
144951 4 1
145096 5 1
145240 0 0
145240 3 0
145528 1 0
145528 4 0
145817 2 1
145961 3 1
146105 4 1
146249 5 1
146394 0 0
146682 1 0
146971 2 0
147115 1 1
147259 0 1
147403 5 1
147548 4 1
147836 3 0
147980 2 1
148124 1 1
148413 0 0
148557 1 1
148846 2 0
148990 3 1
149134 2 1
149423 1 0
149711 0 0
149999 5 0
149999 2 0
150288 4 0
150288 1 0
150576 3 0
150576 0 0
150865 2 0
150865 5 0
151153 1 0
151153 4 0
151442 0 0
151442 3 0
151730 5 0
151730 2 0
152019 4 0
152019 1 0
152307 3 0
152307 0 0
152596 5 0
152596 2 0
152884 1 0
152884 4 0
153173 0 2 153533
153173 3 2 153533
153605 0 0
153749 1 1
154038 2 0
154182 3 1
154326 4 1
154471 5 1
154759 0 0
155048 1 0
155192 2 1
155336 3 1
155480 4 1
155624 5 0
155913 4 0
156201 3 0
156346 2 1
156490 1 1
156634 2 1
156778 3 1
157067 4 0
157211 3 1
157355 2 1
157499 1 1
157644 0 1
157788 5 1
157932 4 0
158221 3 1
158365 4 1
158653 2 0
158653 5 0
158942 4 0
158942 1 0
159230 0 0
159230 3 0
159519 2 0
159519 5 0
159807 4 0
159807 1 0
160096 0 0
160096 3 0
160384 2 0
160384 5 0
160673 4 0
160673 1 0
160961 0 0
160961 3 0
161249 2 0
161249 5 0
161538 4 0
161538 1 0
162115 3 0
162115 0 0
162403 0 0
162403 3 0
162692 0 0
162692 3 0
162980 0 0
162980 3 0
163269 0 0
163269 3 0
163557 0 0
163557 3 0
163846 0 2 166730
163846 3 2 166730
168605 0 0
168749 1 1
168894 2 1
169038 3 1
169326 4 0
169615 5 0
169903 0 0
170048 1 1
170192 2 0
170624 2 0
170769 3 1
171201 3 0
171778 3 0
172211 3 0
173076 4 0
173221 3 1
173365 2 1
173509 1 1
173653 0 1
173798 5 1
173942 4 1
174086 3 1
174230 2 1
174374 1 1
174663 0 0
174951 1 0
175240 2 0
175528 3 1
175673 2 1
175817 3 1
175961 4 1
176105 5 1
176249 0 1
176394 1 1
176538 2 1
176682 3 1
176971 4 0
177259 3 0
177692 2 0
178269 2 0
178557 1 0
178846 0 0
179134 5 0
179423 4 0
179711 3 0
179999 2 2 180504
179999 5 2 180504
180576 1 2 181081
180576 4 2 181081
181153 0 2 181658
181153 3 2 181658
181730 5 2 182235
181730 2 2 182235
182307 4 2 184615
182307 1 2 184615
186346 0 0
186346 3 0
186923 5 0
186923 2 0
187067 4 0
187067 1 0
187355 1 0
187355 4 0
187644 1 0
187644 4 0
187932 0 0
187932 3 0
188942 0 0
188942 3 0
189086 1 1
189086 4 1
189230 2 1
189230 5 1
189374 0 0
189374 2 0
189663 0 0
189663 2 0
189951 0 0
189951 2 0
190240 0 0
190240 3 0
190673 1 0
190673 4 0
